id,company,product,product_models,pricing_components,charge_metrics,customer_value_metrics,free_access,enterprise,last_verified_at,freshness,review_status
"anthropic-api","Anthropic","Claude API","foundation-model-api | ai-infrastructure","usage-based | model-specific | batch-discount","input-token | output-token | cache-read | cache-write","model-inference",false,true,"2026-08-14","Fresh","verified"
"assemblyai","AssemblyAI","AssemblyAI API","vertical-ai","capability-based | enterprise-contract | tiered | usage-based","audio-minute | model-usage","generated-audio",true,true,"2026-08-14","Fresh","verified"
"bolt","StackBlitz","Bolt.new","developer-tool | ai-agent","subscription | included-usage | usage-based | freemium | seat-based | enterprise-contract | tiered","input-token | output-token | user-seat","developer-productivity | coding-workflow",true,true,"2026-08-14","Fresh","verified"
"claude-team","Anthropic","Claude Team","ai-copilot | horizontal-ai-application","subscription | seat-based | usage-based | hybrid-seat-usage | model-specific | enterprise-contract","user-seat | model-usage","",false,true,"2026-08-14","Fresh","verified"
"cohere","Cohere","Cohere API","ai-enabled-saas | foundation-model-api","enterprise-contract | model-specific | usage-based","input-token | model-usage | output-token","model-inference",false,true,"2026-08-14","Fresh","verified"
"cursor","Anysphere","Cursor","ai-copilot | developer-tool","subscription | seat-based | included-usage | usage-based | hybrid-seat-usage | freemium | enterprise-contract","user-seat | model-usage","developer-productivity | coding-workflow",true,true,"2026-08-14","Fresh","verified"
"deepl-api","DeepL","DeepL API","vertical-ai","enterprise-contract | included-usage | subscription | usage-based","character","model-inference",true,true,"2026-08-14","Fresh","verified"
"descript","Descript","Descript","ai-enabled-saas | horizontal-ai-application","subscription | seat-based | included-credits | credit-based | freemium | enterprise-contract","user-seat | credit","",true,true,"2026-08-14","Fresh","verified"
"elevenagents","ElevenLabs","ElevenAgents","ai-agent | ai-infrastructure","usage-based | subscription | included-usage | model-specific | enterprise-contract","audio-minute | model-usage","voice-workflow",false,true,"2026-08-14","Fresh","verified"
"elevenlabs","ElevenLabs","ElevenLabs","horizontal-ai-application | ai-infrastructure","subscription | included-credits | credit-based | usage-based | freemium | enterprise-contract","credit | audio-minute | character","generated-audio | voice-workflow",true,true,"2026-08-14","Fresh","verified"
"fireworks-ai","Fireworks AI","Fireworks AI","ai-infrastructure | foundation-model-api","enterprise-contract | model-specific | usage-based","input-token | model-usage | output-token","model-inference",false,true,"2026-08-14","Fresh","verified"
"github-copilot","GitHub","GitHub Copilot","ai-copilot | developer-tool","subscription | seat-based | included-credits | credit-based | usage-based | freemium","user-seat | ai-credit","developer-productivity | coding-workflow",true,true,"2026-08-14","Fresh","verified"
"groqcloud","Groq","GroqCloud","ai-infrastructure | foundation-model-api","enterprise-contract | model-specific | usage-based","input-token | output-token","model-inference",true,true,"2026-08-14","Fresh","verified"
"hugging-face-inference","Hugging Face","Inference Providers","ai-infrastructure | foundation-model-api | marketplace","credit-based | enterprise-contract | platform-fee-usage | subscription | usage-based","credit | input-token | model-usage | output-token","model-inference",true,true,"2026-08-14","Fresh","verified"
"intercom-copilot","Intercom","Intercom Copilot","ai-copilot | vertical-ai","seat-based | subscription | included-usage | freemium","user-seat","",true,false,"2026-08-14","Fresh","verified"
"intercom-fin","Intercom","Fin AI Agent","ai-agent | vertical-ai","outcome-based | usage-based | seat-based | enterprise-contract","","",false,true,"2026-08-14","Fresh","verified"
"jasper","Jasper","Jasper","horizontal-ai-application | ai-enabled-saas","subscription | seat-based | capability-based | enterprise-contract","user-seat","",false,true,"2026-08-14","Fresh","verified"
"lovable","Lovable","Lovable","developer-tool | ai-agent","subscription | credit-based | included-credits | usage-based | freemium | enterprise-contract","credit","developer-productivity | coding-workflow",true,true,"2026-08-14","Fresh","verified"
"mistral-ai","Mistral AI","La Plateforme","ai-infrastructure | foundation-model-api","batch-discount | enterprise-contract | model-specific | usage-based","input-token | output-token","model-inference",false,true,"2026-08-14","Fresh","verified"
"notion-ai","Notion","Notion AI and Custom Agents","ai-enabled-saas | horizontal-ai-application | ai-agent","subscription | seat-based | included-usage | credit-based | usage-based | freemium | enterprise-contract","user-seat | credit","",true,true,"2026-08-14","Fresh","verified"
"openai-api","OpenAI","OpenAI API","foundation-model-api | ai-infrastructure","usage-based | model-specific | tiered","input-token | output-token | cached-input-token","model-inference",false,true,"2026-08-14","Fresh","verified"
"replicate","Replicate","Replicate API","ai-infrastructure | marketplace","enterprise-contract | model-specific | usage-based","input-token | model-usage | output-token","model-inference",false,true,"2026-08-14","Fresh","verified"
"replit","Replit","Replit","developer-tool | ai-agent | ai-enabled-service","subscription | included-credits | credit-based | usage-based | freemium | enterprise-contract","credit | model-usage","developer-productivity | coding-workflow",true,true,"2026-08-14","Fresh","verified"
"scale-ai","Scale AI","Scale Data Engine","ai-enabled-saas | data-intelligence-product","enterprise-contract | outcome-based | project-based","model-usage","model-inference",false,true,"2026-08-14","Fresh","verified"
"together-ai","Together AI","Together AI Platform","ai-infrastructure | foundation-model-api","enterprise-contract | model-specific | usage-based","cached-input-token | input-token | model-usage | output-token","model-inference",false,true,"2026-08-14","Fresh","verified"
